Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,22306,-,-,India,24.65,73.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2003,1,1,0,30,0,0,0,0,0,0,1,14.320346391176201,960.3856811523438,43.15513368429371,177.59748158541095,0.7697407476281151,0.0,282.577392578125,1.9003835916519165,0
2003,1,1,1,30,0,0,0,0,0,0,1,13.626736421854105,960.4093627929688,44.191757642513586,168.01215498818271,0.7643227330744152,0.0,297.3347473144531,2.275407314300537,0
2003,1,1,2,30,0,0,0,0,0,0,1,13.0229339731153,960.3338623046875,45.829405648651154,154.39272806916665,0.7618126778662396,0.0,304.60150146484375,2.6358189582824707,0
2003,1,1,3,30,0,0,0,0,0,0,1,12.482885222786592,960.1040649414062,47.732112788153216,140.81220718197045,0.7444597352476138,0.0,308.1224365234375,2.829035997390747,0
2003,1,1,4,30,0,0,0,0,0,0,1,11.962429310753066,960.0655517578125,49.8323762045132,127.35278905333006,0.7227886935253305,0.0,312.04791259765625,2.8294596672058105,0
2003,1,1,5,30,0,0,0,0,0,0,1,8.188477051921836,960.9557495117188,60.57365571636625,114.1097574784758,0.523756566147258,0.0,38.61973190307617,2.7299931049346924,0
2003,1,1,6,30,0,0,0,0,0,0,1,7.831665617195483,962.0648193359375,65.48542173275843,101.14204692742658,0.5440073160245796,0.0,44.165409088134766,2.525269031524658,0
2003,1,1,7,30,6,0,6,11,40,12,2,9.726782768093756,963.1011352539062,59.76174141955571,88.61862162216711,0.5668081735227526,0.0,50.17031478881836,2.299131155014038,0
2003,1,1,8,30,83,468,190,82,473,190,2,13.438455096901123,964.2853393554688,47.68192138400356,76.78466992350558,0.5889809194532378,0.0,56.09635543823242,1.6566413640975952,0
2003,1,1,9,30,119,680,395,119,680,395,0,18.036298837894265,964.6260986328125,29.81935865146106,66.01625183323046,0.5914920088273576,0.0,64.81306457519531,2.0452980995178223,0
2003,1,1,10,30,128,776,552,140,783,567,-1,20.823330506854177,963.985595703125,22.976555401866936,56.93727872825485,0.5913699090456183,0.0,68.6260757446289,2.119141101837158,0
2003,1,1,11,30,152,834,683,152,834,683,-1,22.62652888963123,962.839111328125,19.76007667716593,50.47800914145916,0.590113552588166,0.0,67.91389465332031,2.0716934204101562,0
2003,1,1,12,30,156,852,729,156,852,729,-2,23.705222132091137,961.7395629882812,17.649219053752564,47.72083308306749,0.5859588443147611,0.0,63.63909149169922,2.0832362174987793,0
2003,1,1,13,30,154,843,703,154,843,703,-2,23.996098383415756,960.6686401367188,16.5394970449359,49.29336927768109,0.5779282844176707,0.0,57.81784439086914,2.196983814239502,0
2003,1,1,14,30,144,803,607,144,803,607,-3,23.47666477872366,959.8674926757812,16.364557141535123,54.82323078648882,0.5679669437777258,0.0,56.06584167480469,2.5232961177825928,0
2003,1,1,15,30,126,718,449,126,718,449,-3,22.2184309477812,959.7814331054688,17.34777666703307,63.2775565266266,0.5647900381898947,0.0,58.26935577392578,2.86184024810791,0
2003,1,1,16,30,92,543,245,95,549,249,-3,20.057800863127227,959.8734741210938,20.018238169646274,73.65018006593468,0.5680507597485972,0.0,60.73499298095703,2.9817004203796387,0
2003,1,1,17,30,26,0,26,35,182,50,-3,16.690040818631758,960.4881591796875,25.72944169647991,85.23535541323973,0.5772956343511788,0.0,61.229827880859375,3.0350303649902344,0
