Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,22306,-,-,India,24.65,73.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2008,11,7,3,30,0,0,0,0,0,0,11,17.737978808542948,956.9268798828125,65.74367728443326,134.64938578042273,1.1946711165053367,0.0,65.10629272460938,1.8352690935134888,0
2008,11,7,4,30,0,0,0,0,0,0,11,17.407426645576095,957.2034301757812,66.93702453066159,121.03478912648045,1.1805437250439024,0.0,66.15145874023438,1.8039566278457642,0
2008,11,7,5,30,0,0,0,0,0,0,10,17.107195066826876,957.5308227539062,66.93977841641879,107.53123154456956,1.1668378870777247,0.0,68.76087951660156,1.7773544788360596,0
2008,11,7,6,30,0,0,0,0,0,0,11,17.017144637999365,958.1671752929688,68.9526948759555,94.26569753081073,1.1528062992784542,0.0,73.50055694580078,1.7566897869110107,0
2008,11,7,7,30,64,184,92,64,184,92,12,19.68470347661213,958.8510131835938,63.216143650923115,81.40059711082012,1.138462332247076,0.0,79.52281188964844,1.7084383964538574,1
2008,11,7,8,30,137,461,301,137,461,301,11,22.612311817792943,959.5735473632812,48.972470895719745,69.19480376763542,1.1277999203833855,0.0,83.07526397705078,1.3623188734054565,1
2008,11,7,9,30,188,590,500,177,612,501,12,26.123992438512744,959.72216796875,43.71925699628852,58.08685143824499,1.1248737184685058,0.0,84.39997863769531,0.9572195410728455,1
2008,11,7,10,30,467,290,658,201,693,658,9,30.496630169874663,959.6229248046875,27.56098192959705,48.85066908875195,1.129483483773046,0.0,79.8133773803711,0.9970501661300659,1
2008,11,7,11,30,213,733,752,213,733,752,8,32.46283858046701,958.939208984375,23.07638922821996,42.73112372712226,1.146222881082547,0.0,54.73983383178711,0.9004648327827454,1
2008,11,7,12,30,222,727,770,216,741,774,8,33.2366721510748,958.1636352539062,21.580368477875428,41.15025383177223,1.17312105756553,0.0,27.642066955566406,1.0460416078567505,1
2008,11,7,13,30,209,720,722,209,720,722,8,33.17388408996385,957.3474731445312,21.282414131939213,44.59477585236099,1.206770889291089,0.0,15.14703369140625,1.3922640085220337,1
2008,11,7,14,30,193,665,602,193,665,602,7,32.467276963388144,956.8783569335938,21.874038487527923,52.0738585378478,1.244705674887177,0.0,14.467369079589844,1.7822692394256592,1
2008,11,7,15,30,164,561,426,164,561,426,8,31.118975603567947,956.49560546875,23.73549241491866,62.14125888292831,1.2754566514902717,0.0,19.151992797851562,2.1548008918762207,1
2008,11,7,16,30,114,371,218,114,371,218,10,28.596027563722203,956.808349609375,32.79516515819391,73.735206180788,1.2951252515000364,0.0,26.869857788085938,2.383759021759033,1
2008,11,7,17,30,24,50,27,24,50,27,12,25.055432851768728,957.36669921875,45.96744144097141,86.22902431636625,1.296171171338869,0.0,33.50818634033203,2.6154580116271973,1
2008,11,7,18,30,0,0,0,0,0,0,12,23.5496733576349,957.70849609375,50.61628600026835,99.27089518726531,1.2825290838449632,0.0,38.6115608215332,2.8104286193847656,0
2008,11,7,19,30,0,0,0,0,0,0,12,22.47325517073682,958.3756103515625,53.98079385871819,112.6437039673591,1.256923379891081,0.0,43.795291900634766,2.8367109298706055,0
2008,11,7,20,30,0,0,0,0,0,0,12,21.547251182197556,958.858154296875,57.132593627262864,126.20693681403546,1.2203849491625105,0.0,49.20063400268555,2.721709966659546,0
2008,11,7,21,30,0,0,0,0,0,0,12,20.77149237829974,959.058349609375,59.51691810334855,139.83642252838644,1.1833610292959993,0.0,55.16169738769531,2.5582423210144043,0
2008,11,7,22,30,0,0,0,0,0,0,12,20.08700805822724,959.0498046875,61.5406645848103,153.3413766472579,1.1454794635650272,0.0,60.853187561035156,2.365100383758545,0
2008,11,7,23,30,0,0,0,0,0,0,12,19.470657011472326,958.6814575195312,63.340154983833905,166.01521371687784,1.1102317809352884,0.0,65.04939270019531,2.143369197845459,0
2008,11,8,0,30,0,0,0,0,0,0,12,18.944056156861677,958.525390625,64.94670972084494,171.4891300893835,1.0797373223293383,0.0,67.0603256225586,1.915749192237854,0
2008,11,8,1,30,0,0,0,0,0,0,12,18.47248008283583,958.2977294921875,66.69053165663617,161.49990362615836,1.0539136080038016,0.0,66.1285171508789,1.7258626222610474,0
2008,11,8,2,30,0,0,0,0,0,0,11,18.080892345723043,958.2809448242188,67.13079171614434,148.3369663370542,1.031893860247412,0.0,61.29945373535156,1.6088296175003052,0
2008,11,8,3,30,0,0,0,0,0,0,11,17.70806262306496,957.9657592773438,69.07896418135681,134.75707249070032,1.0018140586294138,0.0,56.32742691040039,1.580588698387146,0
2008,11,8,4,30,0,0,0,0,0,0,11,17.339477026309794,957.9963989257812,67.52466213342959,121.14541861280823,0.9738955088061767,0.0,54.573360443115234,1.6035182476043701,0
2008,11,8,5,30,0,0,0,0,0,0,11,16.994718891273067,958.774658203125,68.97543073878568,107.6513265310026,0.9482903808510956,0.0,56.663509368896484,1.6370511054992676,0
2008,11,8,6,30,0,0,0,0,0,0,10,16.852778460963066,959.4299926757812,67.93848101698184,94.40047734630836,0.923669893473745,0.0,60.93937683105469,1.655442714691162,0
2008,11,8,7,30,64,184,91,64,184,91,12,19.501034093328258,959.8453979492188,62.25804644856409,81.55539415902199,0.9004331255441067,0.0,65.63349914550781,1.6220331192016602,1
2008,11,8,8,30,137,466,301,137,466,301,10,22.506796234637193,960.2987060546875,47.185208768931794,69.37581442427766,0.8796463836528029,0.0,68.10125732421875,1.2838906049728394,1
2008,11,8,9,30,192,581,498,178,618,503,12,26.041463650275148,960.4266967773438,41.895956480225145,58.300880971808766,0.8912133231328481,0.0,67.88998413085938,0.9334642291069031,1
2008,11,8,10,30,464,289,654,202,699,660,8,30.441655162337497,960.281005859375,25.951916833219595,49.1024645236234,0.9109234614449575,0.0,59.389854431152344,1.3166583776474,1
2008,11,8,11,30,224,718,749,214,738,754,7,32.31225652186646,959.3778686523438,21.994517721217875,43.01474390695052,0.9420444857821082,0.0,46.92412567138672,1.3986891508102417,1
2008,11,8,12,30,234,717,772,216,746,776,7,33.06860422989752,958.3873901367188,20.71748417740829,41.43919719509831,0.9795352722021552,0.0,33.338462829589844,1.4875833988189697,1
2008,11,8,13,30,207,724,721,210,725,724,7,33.059816007772895,957.345458984375,20.45650156956386,44.855195175897045,1.0230991783209213,0.0,24.16400909423828,1.664862036705017,1
2008,11,8,14,30,244,583,601,193,669,603,7,32.35461657393046,956.7337036132812,21.124322982120084,52.290572318804344,1.070581976645642,0.0,21.453857421875,1.876060962677002,1
2008,11,8,15,30,426,0,426,164,564,427,7,30.977874037788126,956.6426391601562,23.022098910329344,62.31679775094254,1.0947766045003562,0.0,23.976272583007812,2.085367202758789,1
2008,11,8,16,30,114,372,217,114,372,217,10,28.377097287434367,956.596435546875,32.7451556919226,73.8775689608116,1.1134019605117218,0.0,31.670303344726562,2.231072425842285,1
2008,11,8,17,30,23,48,26,23,48,26,12,24.816247878837032,957.0477905273438,46.259546863450666,86.3458947465531,1.1175984423384473,0.0,39.368770599365234,2.412320375442505,1
2008,11,8,18,30,0,0,0,0,0,0,12,23.316491461304793,957.8700561523438,50.6264544163729,99.36872306358755,1.1104930870105123,0.0,45.0759391784668,2.5917396545410156,0
2008,11,8,19,30,0,0,0,0,0,0,12,22.199937302178228,958.520751953125,53.5154682867108,112.72793702863318,1.0945112141917492,0.0,50.87531280517578,2.6575231552124023,0
2008,11,8,20,30,0,0,0,0,0,0,12,21.215057783794236,958.7354736328125,56.46385241666134,126.28319010712599,1.0706260366178248,0.0,58.05170440673828,2.624990463256836,0
2008,11,8,21,30,0,0,0,0,0,0,12,20.37583648325733,959.17333984375,59.061565689647566,139.91244931875727,1.0764569915653002,0.0,65.3315658569336,2.526822090148926,0
2008,11,8,22,30,0,0,0,0,0,0,12,19.649816152131507,959.0531005859375,61.41597518226944,153.43306266821955,1.0795761885372384,0.0,71.18202209472656,2.3946902751922607,0
2008,11,8,23,30,0,0,0,0,0,0,11,19.014430845493393,958.6657104492188,63.48939085136435,166.1744499738798,1.0788291195122992,0.0,75.1269760131836,2.2613394260406494,0
2008,11,9,0,30,0,0,0,0,0,0,11,18.450938186120652,958.3352661132812,65.23309371604336,171.7692121295323,1.075133733078642,0.0,77.29202270507812,2.1647591590881348,0
2008,11,9,1,30,0,0,0,0,0,0,11,17.951805334366043,957.8119506835938,66.62481571130998,161.6531066610325,1.071094183408095,0.0,77.66683197021484,2.1101417541503906,0
2008,11,9,2,30,0,0,0,0,0,0,11,17.541262829364882,957.5056762695312,68.37974230700577,148.45273297689852,1.0688521945539475,0.0,76.02775573730469,1.9528993368148804,0
2008,11,9,3,30,0,0,0,0,0,0,11,17.192986479830893,957.2153930664062,69.18655875059979,134.8651574625253,1.048424548270077,0.0,73.8931655883789,1.8005549907684326,0
2008,11,9,4,30,0,0,0,0,0,0,11,16.90704188931994,957.3580932617188,71.09447933864466,121.25688218206915,1.0313326314398195,0.0,72.76625061035156,1.722439169883728,0
2008,11,9,5,30,0,0,0,0,0,0,11,16.637519525609093,958.066162109375,71.27656814548489,107.7724293062552,1.0192493242150764,0.0,72.90670013427734,1.6918123960494995,0
2008,11,9,6,30,0,0,0,0,0,0,11,16.571730748813195,958.9373168945312,72.89732237246274,94.53624743524121,1.0112427937437332,0.0,74.5823745727539,1.672401785850525,0
2008,11,9,7,30,62,178,88,62,178,88,12,19.207303573204456,959.3881225585938,65.93801719474295,81.71097384186106,1.0043153129091003,0.0,77.8180160522461,1.6345001459121704,1
