epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
30,60157.05971746575,60157.05971746575,60384.97158604452,60384.97158604452
31,59894.42577054795,59894.42577054795,61282.495997431506,61282.495997431506
32,59640.89488441781,59640.89488441781,60292.58273758562,60292.58273758562
33,59388.99505565069,59388.99505565069,60002.798095034246,60002.798095034246
34,59080.131239297945,59080.131239297945,59904.091973458904,59904.091973458904
35,58827.250979238015,58827.250979238015,59322.906035958906,59322.906035958906
36,58582.51434075343,58582.51434075343,59700.969852311646,59700.969852311646
37,58290.53148009418,58290.53148009418,59345.83112157534,59345.83112157534
38,57979.626487585614,57979.626487585614,59011.095194777394,59011.095194777394
39,57709.11402504281,57709.11402504281,58819.74899400685,58819.74899400685
40,57402.632470034245,57402.632470034245,58522.97213184932,58522.97213184932
41,57101.35577910959,57101.35577910959,58297.78709332192,58297.78709332192
42,56791.800395976024,56791.800395976024,58002.10094178082,58002.10094178082
43,56461.32274186644,56461.32274186644,58039.18621575343,58039.18621575343
44,56122.67175192637,56122.67175192637,57370.35057791096,57370.35057791096
45,55760.70431827911,55760.70431827911,58064.27737585617,58064.27737585617
46,55452.88961900685,55452.88961900685,57342.83785316781,57342.83785316781
47,55111.53352953767,55111.53352953767,56965.52502140411,56965.52502140411
48,54744.89990368151,54744.89990368151,56691.804302226024,56691.804302226024
49,54436.00070098459,54436.00070098459,56284.0357234589,56284.0357234589
50,54064.608197773974,54064.608197773974,56327.91258561644,56327.91258561644
51,53713.799373929796,53713.799373929796,55688.80006421233,55688.80006421233
52,53340.77281142979,53340.77281142979,55912.114137414384,55912.114137414384
53,52958.32083154966,52958.32083154966,55648.71002782534,55648.71002782534
54,52575.970836900684,52575.970836900684,55183.508272688356,55183.508272688356
55,52242.343568065065,52242.343568065065,54793.166523972606,54793.166523972606
56,51835.04465432363,51835.04465432363,54257.53754280822,54257.53754280822
57,51472.00901648116,51472.00901648116,54270.791470462325,54270.791470462325
58,51087.184492722605,51087.184492722605,53739.80203339041,53739.80203339041
59,50713.00765196918,50713.00765196918,53547.636023116436,53547.636023116436
60,50335.66808112158,50335.66808112158,53136.70265410959,53136.70265410959
61,49968.32403146404,49968.32403146404,52864.218172089044,52864.218172089044
62,49565.79164169521,49565.79164169521,52516.63878424658,52516.63878424658
63,49266.24405500856,49266.24405500856,52246.54997859589,52246.54997859589
64,48910.19037350171,48910.19037350171,51929.998303724315,51929.998303724315
65,48567.34712114726,48567.34712114726,51608.93339041096,51608.93339041096
66,48225.81247859589,48225.81247859589,51559.11324914383,51559.11324914383
67,47916.12634310788,47916.12634310788,51003.49212328767,51003.49212328767
68,47586.89440817637,47586.89440817637,50706.246270333904,50706.246270333904
69,47271.890726669524,47271.890726669524,50403.13604987157,50403.13604987157
70,47004.783417166094,47004.783417166094,50186.185766267125,50186.185766267125
71,46725.94143032962,46725.94143032962,49834.738703981166,49834.738703981166
72,46452.356999143834,46452.356999143834,49746.15815496576,49746.15815496576
73,46238.56637414383,46238.56637414383,49403.329660744865,49403.329660744865
74,46016.7777932363,46016.7777932363,49236.08153895548,49236.08153895548
75,45819.31461900685,45819.31461900685,48869.49342893835,48869.49342893835
76,45623.78137842466,45623.78137842466,48720.35874357877,48720.35874357877
77,45482.592139340755,45482.592139340755,48406.15992080479,48406.15992080479
78,45278.96667380137,45278.96667380137,48135.66670590753,48135.66670590753
79,45161.79833583048,45161.79833583048,48139.79008989726,48139.79008989726
80,45047.146222174655,45047.146222174655,48309.107165025685,48309.107165025685
81,44897.28782641267,44897.28782641267,47636.79903681507,47636.79903681507
82,44819.20567744007,44819.20567744007,47812.45939640411,47812.45939640411
83,44716.190983518834,44716.190983518834,47337.6438677226,47337.6438677226
84,44626.61079837329,44626.61079837329,47596.42703339041,47596.42703339041
85,44547.14521083048,44547.14521083048,47392.822731164386,47392.822731164386
86,44475.570178724316,44475.570178724316,47342.86454409247,47342.86454409247
87,44432.52910423801,44432.52910423801,47302.212590967465,47302.212590967465
88,44416.44622752569,44416.44622752569,46975.2462114726,46975.2462114726
89,44292.70578446062,44292.70578446062,47161.139180222606,47161.139180222606
90,44310.9853328339,44310.9853328339,46920.18315496575,46920.18315496575
91,44247.15707405822,44247.15707405822,47224.90453767123,47224.90453767123
92,44178.19724957192,44178.19724957192,46626.82429901541,46626.82429901541
93,44139.00070633562,44139.00070633562,46786.678991866436,46786.678991866436
94,44093.95515839041,44093.95515839041,46615.34274400685,46615.34274400685
95,44081.87783604452,44081.87783604452,46619.90444135274,46619.90444135274
96,44084.047249571915,44084.047249571915,46203.16323309075,46203.16323309075
97,44022.45814961473,44022.45814961473,46193.4571489726,46193.4571489726
98,44005.9015625,44005.9015625,46503.3060734161,46503.3060734161
99,43958.132561001716,43958.132561001716,46720.545499785956,46720.545499785956
100,43914.029473458904,43914.029473458904,46991.60218857021,46991.60218857021
101,43893.56641160103,43893.56641160103,45737.351300299655,45737.351300299655
102,43908.84726027397,43908.84726027397,46405.85349422089,46405.85349422089
103,43847.08420911815,43847.08420911815,45887.83464255137,45887.83464255137
104,43837.87239940069,43837.87239940069,46220.94605629281,46220.94605629281
105,43786.50979238014,43786.50979238014,46715.7973244863,46715.7973244863
106,43822.624657534245,43822.624657534245,46161.789319349315,46161.789319349315
107,43762.62554312928,43762.62554312928,46283.03781035959,46283.03781035959
108,43731.614292594175,43731.614292594175,45718.65367615582,45718.65367615582
109,43719.63997752569,43719.63997752569,46018.42533711473,46018.42533711473
110,43671.56311536815,43671.56311536815,46448.66620291096,46448.66620291096
111,43692.91782427226,43692.91782427226,45897.32444349315,45897.32444349315
112,43660.50799978596,43660.50799978596,46336.78635488014,46336.78635488014
113,43581.50845462329,43581.50845462329,46735.112382277395,46735.112382277395
114,43608.76387521404,43608.76387521404,46181.83879494863,46181.83879494863
115,43594.20596639555,43594.20596639555,45871.16159032534,45871.16159032534
116,43566.46759952911,43566.46759952911,45753.44984482021,45753.44984482021
117,43579.83149614726,43579.83149614726,45785.59305971747,45785.59305971747
118,43490.319809503424,43490.319809503424,45373.79393728596,45373.79393728596
119,43507.19663420377,43507.19663420377,46014.74713184931,46014.74713184931
120,43466.50062071918,43466.50062071918,47163.5944723887,47163.5944723887
121,43489.62628424657,43489.62628424657,45773.38270547945,45773.38270547945
122,43469.31712328767,43469.31712328767,45493.88680971746,45493.88680971746
123,43436.06629922945,43436.06629922945,45399.000856164384,45399.000856164384
124,43440.96945633562,43440.96945633562,45966.042829623286,45966.042829623286
125,43348.3311911387,43348.3311911387,45377.85634096747,45377.85634096747
126,43373.287508026544,43373.287508026544,45894.26696275685,45894.26696275685
127,43422.3820901113,43422.3820901113,45993.65421660959,45993.65421660959
128,43342.64716395548,43342.64716395548,45607.963265196915,45607.963265196915
129,43337.88444991438,43337.88444991438,45708.99721746575,45708.99721746575
