epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
34,47826.03141053082,47826.03141053082,31530.11221104452,31530.11221104452
35,47509.341894977166,47509.341894977166,23942.171286386987,23942.171286386987
36,47559.22276327055,47559.22276327055,32053.257562785388,32053.257562785388
37,47482.31480986016,47482.31480986016,30189.597370861873,30189.597370861873
38,47142.958507241725,47142.958507241725,27965.878228453195,27965.878228453195
39,47142.16884275114,47142.16884275114,27584.783961187215,27584.783961187215
40,46876.055186929225,46876.055186929225,28433.41964540525,28433.41964540525
41,47039.63798515982,47039.63798515982,25012.198371503997,25012.198371503997
42,47002.03181185788,47002.03181185788,28650.802056578195,28650.802056578195
43,46939.83031000286,46939.83031000286,26677.240519763127,26677.240519763127
44,46775.805338541664,46775.805338541664,30717.41222531393,30717.41222531393
45,46797.01690924657,46797.01690924657,27450.950395976026,27450.950395976026
46,46543.70108269121,46543.70108269121,24137.76687357306,24137.76687357306
47,46479.61743721461,46479.61743721461,29744.597513555935,29744.597513555935
48,46836.51393942637,46836.51393942637,27484.671482591326,27484.671482591326
49,46582.799131349886,46582.799131349886,29105.032855308218,29105.032855308218
50,46249.45616170805,46249.45616170805,26042.509221603883,26042.509221603883
51,46339.8687571347,46339.8687571347,24649.95233126427,24649.95233126427
52,46463.171660958906,46463.171660958906,27214.996084831622,27214.996084831622
53,46103.346568207766,46103.346568207766,23449.22271867865,23449.22271867865
54,46388.071445134134,46388.071445134134,28538.297445776258,28538.297445776258
55,46457.28193671518,46457.28193671518,28776.107002711185,28776.107002711185
56,45927.00035673516,45927.00035673516,22820.50105236872,22820.50105236872
57,45918.738263413245,45918.738263413245,31398.45002140411,31398.45002140411
58,46101.69868364726,46101.69868364726,25644.373011201485,25644.373011201485
59,45798.87293985445,45798.87293985445,24346.627729023974,24346.627729023974
60,45651.55602525685,45651.55602525685,27084.070972460046,27084.070972460046
61,45590.20921625286,45590.20921625286,25069.5303581621,25069.5303581621
62,45982.869515196915,45982.869515196915,26566.840949628997,26566.840949628997
63,45712.20962649829,45712.20962649829,21828.559949343606,21828.559949343606
64,45654.60830479452,45654.60830479452,25177.261549300798,25177.261549300798
65,45770.10993685788,45770.10993685788,24044.543093607306,24044.543093607306
66,45593.82605593607,45593.82605593607,24529.62295769121,24529.62295769121
67,45377.691250178366,45377.691250178366,23094.67952696918,23094.67952696918
68,45607.46017943779,45607.46017943779,25628.554839112443,25628.554839112443
69,45568.07807148973,45568.07807148973,26994.410486230023,26994.410486230023
70,45413.3873965468,45413.3873965468,23880.932291666668,23880.932291666668
71,45185.76540649971,45185.76540649971,25143.794930793378,25143.794930793378
72,45196.069121896406,45196.069121896406,21714.844436715182,21714.844436715182
73,45058.82079409246,45058.82079409246,24796.396493293378,24796.396493293378
74,45118.4541862871,45118.4541862871,26750.24093000856,26750.24093000856
75,45010.46299764555,45010.46299764555,21556.796545019977,21556.796545019977
76,45249.175683147834,45249.175683147834,27126.17615582192,27126.17615582192
77,44773.95980932506,44773.95980932506,27817.957352311645,27817.957352311645
78,45272.29528752854,45272.29528752854,22766.477284888697,22766.477284888697
