epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
65,37438.92168041719,37438.92168041719,38485.95875209176,38485.95875209176
66,37274.29242878269,37274.29242878269,40107.31732930223,40107.31732930223
67,37342.05786163216,37342.05786163216,38974.05400646015,38974.05400646015
68,37734.45106728674,37734.45106728674,38469.40421782573,38469.40421782573
69,37928.56521443026,37928.56521443026,38070.707808365114,38070.707808365114
70,37249.80487965053,37249.80487965053,37914.62253244669,37914.62253244669
71,37000.39325430028,37000.39325430028,38475.77248282807,38475.77248282807
72,37428.694283643366,37428.694283643366,38552.64236043548,38552.64236043548
73,37076.87803549191,37076.87803549191,39441.86558705635,39441.86558705635
74,37121.9650237391,37121.9650237391,39101.43218910531,39101.43218910531
75,37359.198374747044,37359.198374747044,39324.0841643641,39324.0841643641
76,37047.13861593244,37047.13861593244,38001.25259646443,38001.25259646443
77,36808.32531327833,36808.32531327833,40976.64637613831,40976.64637613831
78,37775.2586175864,37775.2586175864,40696.85258892435,40696.85258892435
79,37265.47056691703,37265.47056691703,44899.19581841532,44899.19581841532
80,37263.98077035336,37263.98077035336,39130.04366864006,39130.04366864006
81,37476.923178704856,37476.923178704856,38437.1513586745,38437.1513586745
82,36904.713182499225,36904.713182499225,40814.511829418974,40814.511829418974
83,36847.9391417925,36847.9391417925,39606.07061775179,39606.07061775179
84,37171.71814922556,37171.71814922556,40233.673967373325,40233.673967373325
85,36601.18617683686,36601.18617683686,38676.27583573319,38676.27583573319
86,36877.67779031756,36877.67779031756,37471.27412462056,37471.27412462056
87,36740.64046203689,36740.64046203689,40295.49441851358,40295.49441851358
88,37598.94080547556,37598.94080547556,37801.78355580635,37801.78355580635
89,37053.77330129203,37053.77330129203,42193.70753594917,42193.70753594917
90,36672.86877091765,36672.86877091765,39946.04047687383,39946.04047687383
91,36890.910611087325,36890.910611087325,37764.714596873055,37764.714596873055
92,36915.25226688979,36915.25226688979,39639.41308350521,39639.41308350521
93,36793.32032222914,36793.32032222914,39669.15386514438,39669.15386514438
94,37182.75683958593,37182.75683958593,40599.94098181624,40599.94098181624
95,36663.83554833437,36663.83554833437,38721.11885422342,38721.11885422342
96,36651.68208573319,36651.68208573319,38033.311868822,38033.311868822
97,36252.42444592543,36252.42444592543,38948.84377189057,38948.84377189057
98,36326.57809094801,36326.57809094801,39707.886621458594,39707.886621458594
99,37388.093662437735,37388.093662437735,40142.96633838924,40142.96633838924
100,36268.43332133406,36268.43332133406,36977.10669583787,36977.10669583787
101,36241.96215850716,36241.96215850716,36838.10477433258,36838.10477433258
102,36571.29301253113,36571.29301253113,37530.21165745641,37530.21165745641
103,36446.2212284986,36446.2212284986,38381.80896406542,38381.80896406542
104,36563.78036464819,36563.78036464819,37328.707436225486,37328.707436225486
105,36624.89979228284,36624.89979228284,37819.17347118715,37819.17347118715
106,36552.020270664696,36552.020270664696,41776.53297084176,41776.53297084176
107,36205.26520907923,36205.26520907923,36485.88132394147,36485.88132394147
108,35941.51335811021,35941.51335811021,41350.35686123327,41350.35686123327
109,36504.66971756305,36504.66971756305,41338.038176540125,41338.038176540125
110,36935.03218399751,36935.03218399751,37576.5467606826,37576.5467606826
111,35641.80686925981,35641.80686925981,40123.17025935457,40123.17025935457
112,35795.55325001946,35795.55325001946,35995.95965386149,35995.95965386149
113,35505.75657203456,35505.75657203456,38411.02321129748,38411.02321129748
114,34646.513642687576,34646.513642687576,34906.915854486106,34906.915854486106
115,35160.74422089041,35160.74422089041,37543.063651687036,37543.063651687036
116,33534.24214128658,33534.24214128658,34391.1010456394,34391.1010456394
117,31335.412340442093,31335.412340442093,32365.21606262891,32365.21606262891
118,28642.644139652086,28642.644139652086,27201.446205148663,27201.446205148663
119,25524.775937889164,25524.775937889164,21861.188959675143,21861.188959675143
120,21185.035065039305,21185.035065039305,20118.824323338264,20118.824323338264
121,19070.474721260118,19070.474721260118,18022.51226418995,18022.51226418995
122,16481.268571713495,16481.268571713495,15052.458981030608,15052.458981030608
123,15223.127097237897,15223.127097237897,15530.70152455635,15530.70152455635
124,14381.433597398427,14381.433597398427,16363.27421218283,16363.27421218283
125,13825.267697306974,13825.267697306974,15140.244734102584,15140.244734102584
126,13941.529947511286,13941.529947511286,13462.08117690983,13462.08117690983
127,13461.225610260351,13461.225610260351,13020.624725759846,13020.624725759846
128,13601.311314260975,13601.311314260975,17384.58574686965,17384.58574686965
129,13477.773092115503,13477.773092115503,14457.091410749728,14457.091410749728
130,13606.660800805574,13606.660800805574,14942.406180679873,14942.406180679873
131,13568.680394078845,13568.680394078845,13337.788979802304,13337.788979802304
132,13259.508337265528,13259.508337265528,12976.973829219529,12976.973829219529
133,13193.20999377335,13193.20999377335,12698.524969535629,12698.524969535629
134,13295.783600803627,13295.783600803627,12832.272539986769,12832.272539986769
135,13055.299896506265,13055.299896506265,13408.260375216474,13408.260375216474
136,13350.514948216649,13350.514948216649,12469.476408049892,12469.476408049892
137,13106.183503147377,13106.183503147377,13032.222620069759,13032.222620069759
138,12723.048599490194,12723.048599490194,13058.817315924658,13058.817315924658
139,13305.928900655745,13305.928900655745,13646.190821285414,13646.190821285414
140,13084.60964741594,13084.60964741594,13259.205074172536,13259.205074172536
141,12555.430066936487,12555.430066936487,18367.311829905433,18367.311829905433
142,13103.699875466998,13103.699875466998,12214.614123428744,12214.614123428744
143,12868.328530583554,12868.328530583554,13368.318973527008,13368.318973527008
144,12588.501528691237,12588.501528691237,12511.11621306575,12511.11621306575
145,12991.338265804989,12991.338265804989,12896.511951641305,12896.511951641305
146,13016.383349426953,13016.383349426953,11984.679932248697,11984.679932248697
147,12935.040158244474,12935.040158244474,12022.824400259282,12022.824400259282
148,12451.273548777048,12451.273548777048,11939.116011186079,11939.116011186079
149,12712.61317301331,12712.61317301331,13789.67599924356,13789.67599924356
150,12868.027929930728,12868.027929930728,12024.95147013397,12024.95147013397
151,12667.646173650568,12667.646173650568,13521.052253694641,13521.052253694641
152,12640.603837294715,12640.603837294715,13150.385260291,13150.385260291
153,12664.687579049269,12664.687579049269,12528.12358197774,12528.12358197774
154,12764.879502463906,12764.879502463906,11982.540656710918,11982.540656710918
155,12568.520409913022,12568.520409913022,14447.739152616166,14447.739152616166
156,12658.685980429833,12658.685980429833,13321.019233143048,13321.019233143048
157,12791.98914957581,12791.98914957581,16248.624421116127,16248.624421116127
158,12689.629499119514,12689.629499119514,13385.9763040697,13385.9763040697
159,12573.947464464314,12573.947464464314,12998.868711326666,12998.868711326666
160,12477.295709935399,12477.295709935399,12760.985827074253,12760.985827074253
161,12690.394313560477,12690.394313560477,12218.305060855775,12218.305060855775
162,12234.134294369745,12234.134294369745,12384.048957644185,12384.048957644185
163,12614.64680361243,12614.64680361243,13551.06788507939,13551.06788507939
164,12413.70714374319,12413.70714374319,12147.81816023165,12147.81816023165
165,12567.984759301058,12567.984759301058,11871.179829180612,11871.179829180612
166,12538.262055621497,12538.262055621497,11992.479656062715,11992.479656062715
167,12275.17868722272,12275.17868722272,12342.047965119815,12342.047965119815
168,12686.433414368968,12686.433414368968,13687.263492189932,13687.263492189932
169,12433.809169593516,12433.809169593516,12912.616781916446,12912.616781916446
170,12397.121565005255,12397.121565005255,13108.590996045104,13108.590996045104
171,12141.292848959954,12141.292848959954,11764.81537800144,11764.81537800144
172,12361.815249698397,12361.815249698397,12814.891114801429,12814.891114801429
173,12478.947227316508,12478.947227316508,11948.77948051253,11948.77948051253
174,12147.976385551254,12147.976385551254,12327.942301634983,12327.942301634983
175,12303.065527586978,12303.065527586978,12063.514096308763,12063.514096308763
176,12140.660589804833,12140.660589804833,11277.486010711784,11277.486010711784
