epoch,loss,mean_squared_error,val_loss,val_mean_squared_error
32,38524.3631499066,38524.3631499066,41018.77347520042,41018.77347520042
33,38010.17847622198,38010.17847622198,40552.946259875076,40552.946259875076
34,38461.7408083943,38461.7408083943,40856.94166285609,40856.94166285609
35,38301.42021861379,38301.42021861379,42225.65829798412,42225.65829798412
36,37996.85155763543,37996.85155763543,40327.3768132686,40327.3768132686
37,37863.585772104605,37863.585772104605,40943.178888494316,40943.178888494316
38,37744.49537379359,37744.49537379359,40262.97845968244,40262.97845968244
39,37798.99155753814,37798.99155753814,43542.37245826198,43542.37245826198
40,37948.125175124536,37948.125175124536,39907.28528394497,39907.28528394497
41,37769.85053607565,37769.85053607565,39857.973317831566,39857.973317831566
42,37542.83279255526,37542.83279255526,39928.12025826004,39928.12025826004
43,37917.549993189605,37917.549993189605,41608.32718127335,41608.32718127335
44,37573.318685301216,37573.318685301216,38715.440287398815,38715.440287398815
45,38041.08282660726,38041.08282660726,41669.378210616436,41669.378210616436
46,37290.15358421544,37290.15358421544,40890.20381576899,40890.20381576899
47,37145.484944154734,37145.484944154734,39303.55933681312,39303.55933681312
48,37316.68140955791,37316.68140955791,39811.61922453884,39811.61922453884
49,37105.142006537986,37105.142006537986,39371.443973527006,39371.443973527006
50,37632.64835358616,37632.64835358616,41135.96431716026,41135.96431716026
51,37294.79390761208,37294.79390761208,39636.2685291485,39636.2685291485
52,37246.56220326121,37246.56220326121,39535.62456766131,39535.62456766131
53,36979.3132710344,36979.3132710344,41935.102193678,41935.102193678
54,36998.9242221552,36998.9242221552,43059.25566114376,43059.25566114376
55,37036.71136558219,37036.71136558219,39406.23660175708,39406.23660175708
56,37264.279107156755,37264.279107156755,38933.98811099004,38933.98811099004
57,36985.620845656915,36985.620845656915,38333.69020348498,38333.69020348498
58,37427.74593321918,37427.74593321918,41594.67794415959,41594.67794415959
59,36919.55433968322,36919.55433968322,38688.10899434737,38688.10899434737
60,37032.42981154654,37032.42981154654,38847.7052179814,38847.7052179814
61,36738.88725385274,36738.88725385274,38046.42633459488,38046.42633459488
62,37224.37418518447,37224.37418518447,39476.2499173023,39476.2499173023
63,36978.02659947074,36978.02659947074,38634.75699646832,38634.75699646832
64,37022.3212805495,37022.3212805495,39282.12195295474,39282.12195295474
65,36973.011893874536,36973.011893874536,39221.99402509145,39221.99402509145
66,36895.939849587485,36895.939849587485,39540.62684853674,39540.62684853674
