Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,22306,-,-,India,24.65,73.75,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2012,1,1,10,30,170,666,534,160,692,538,10,25.122812955427264,959.1358642578125,40.13182963815915,56.93388434027604,1.3072395574380768,0.0,2.2147369384765625,1.60273015499115,0
2012,1,1,11,30,174,748,650,174,748,650,9,27.06873199002348,957.7340698242188,33.44996532006131,50.48200203476837,1.2767585018266645,0.0,349.22662353515625,1.1669237613677979,0
2012,1,1,12,30,179,767,696,179,767,696,8,27.97024775517167,956.4987182617188,29.64010751058127,47.73319373493214,1.2700717427825994,0.0,329.1336669921875,1.0959011316299438,0
2012,1,1,13,30,179,741,663,176,756,669,7,27.965903127193883,955.9783325195312,27.734100825964212,49.31307332580995,1.2895399376519419,0.0,321.3499755859375,1.2995750904083252,0
2012,1,1,14,30,167,701,571,165,711,575,6,27.12231059113111,955.4415893554688,27.758164025934178,54.84777257180852,1.3131628006792972,0.0,321.3500061035156,1.529584288597107,0
2012,1,1,15,30,143,621,422,143,621,422,6,25.55242959206288,955.49169921875,29.626170145520497,63.304611753913555,1.3332812997717758,0.0,328.2086181640625,1.7604331970214844,0
2012,1,1,16,30,104,447,230,104,447,230,6,23.30812283554144,955.669921875,34.46520000165355,73.6782918769183,1.3558533051337935,0.0,341.1197509765625,2.1453235149383545,0
2012,1,1,17,30,25,0,25,33,116,43,7,20.496697358144843,956.4930419921875,43.975180379544895,85.26375911487155,1.3803828723536293,0.0,353.62261962890625,2.8687660694122314,0
2012,1,1,18,30,0,0,0,0,0,0,9,19.0063026010846,957.361083984375,52.31846649273486,97.62440836946153,1.3971788304155408,0.0,3.7036361694335938,3.4080018997192383,0
2012,1,1,19,30,0,0,0,0,0,0,9,17.851574059000995,958.0396118164062,59.41172255551411,110.48627531973247,1.4021314208321574,0.0,12.336944580078125,3.605027914047241,0
