Month,Day,Hour,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed
1,4,14,144,788,602,144,788,602,0,29.212781000284053,957.102294921875,14.104443499211412,54.45942996390714,0.8954006188193996,0.0,239.67669677734375,1.785996913909912
1,4,15,126,704,447,126,704,447,-1,27.765043368328918,956.67333984375,14.937700882679113,62.895344625106176,0.8867504773054821,0.0,243.62258911132812,1.7257084846496582
1,4,16,95,540,251,95,540,251,-1,25.022487687735634,956.7211303710938,17.36460702010245,73.26622972883918,0.879035478403861,0.0,244.2943115234375,1.5929925441741943
1,4,17,35,33,38,37,188,53,-1,21.417092708316943,956.94091796875,21.53878411607554,84.85743109515775,0.8750933297510205,0.0,246.44998168945312,1.4926857948303223
1,4,18,0,0,0,0,0,0,-1,20.22514902568986,957.408203125,22.98269260752666,97.22715343169173,0.8758350035492729,0.0,256.06976318359375,1.3924825191497803
1,4,19,0,0,0,0,0,0,-1,19.19102080325854,957.7042846679688,24.128115419181974,110.09939228394575,0.8765386511336152,0.0,270.49212646484375,1.2772436141967773
1,4,20,0,0,0,0,0,0,-2,18.182943257349166,957.9935913085938,25.235822016471932,123.30465247207677,0.8737851230777383,0.0,280.687744140625,1.0072517395019531
1,4,21,0,0,0,0,0,0,-2,17.236697828125614,958.3795166015625,26.529781194396723,136.72997429417956,0.8691599783733066,0.0,285.0447998046875,0.6911069750785828
1,4,22,0,0,0,0,0,0,-2,16.381136131442133,958.83203125,28.20539017553304,150.29339031184247,0.8737902319917993,0.0,284.42254638671875,0.4425619840621948
1,4,23,0,0,0,0,0,0,0,15.887362323098614,958.6741943359375,36.42854978637246,163.9145941208692,0.8846753066684423,0.0,283.6152648925781,0.2848838269710541
1,5,0,0,0,0,0,0,0,1,15.286510806960791,959.0438842773438,40.1187197968452,177.04236333152403,0.8985415515064142,0.0,291.8143310546875,0.1626558005809784
1,5,1,0,0,0,0,0,0,2,14.732427857742778,958.8325805664062,43.1246018020227,168.36373118795933,0.9161854843447643,0.0,348.0950927734375,0.12257204949855804
1,5,2,0,0,0,0,0,0,2,14.228512214615762,958.846435546875,45.584381080962814,154.75502854539639,0.9343443025369539,0.0,337.684814453125,0.3494258224964142
1,5,3,0,0,0,0,0,0,2,13.715187456652245,958.5413208007812,45.64013899374526,141.16013727143914,0.939452738776533,0.0,338.1195373535156,0.6537823677062988
1,5,4,0,0,0,0,0,0,1,13.231517253181494,958.6124877929688,44.73383682662323,127.67805375854672,0.9313294339111885,0.0,345.66064453125,0.8437795042991638
1,5,5,0,0,0,0,0,0,0,12.843113624432021,958.9473876953125,43.858469464068776,114.38552322793473,0.9148333993012193,0.0,355.73883056640625,0.9380067586898804
1,5,6,0,0,0,0,0,0,0,12.546335889004922,959.128173828125,42.96471620850258,101.38251182620651,0.8953488193098171,0.0,5.1309967041015625,0.9435378313064575
1,5,7,2,0,2,9,31,10,0,14.40611788190489,959.8067016601562,37.03145872923366,88.81355925397807,0.8756118300119052,0.0,13.103309631347656,0.8715841770172119
1,5,8,82,443,183,81,455,184,-3,18.471677079912013,960.531982421875,22.949978731133143,76.91988844732478,0.8580132212745192,0.0,24.24883270263672,0.7054202556610107
1,5,9,118,664,388,118,664,388,-4,22.898157263071028,961.1130981445312,15.449649884665234,66.07119814910291,0.8470641336833773,0.0,0.5763168334960938,0.24610565602779388
1,5,10,140,769,560,140,769,560,-3,26.927744741615186,960.9216918945312,13.291358992994631,56.884974475888434,0.8318287381570502,0.0,247.86688232421875,1.1466361284255981
1,5,11,151,822,677,151,822,677,-3,28.471189712125465,960.0831298828125,12.25787479477832,50.291077636715976,0.810382303952204,0.0,247.0196075439453,1.4835114479064941
1,5,12,156,842,727,156,842,727,-3,29.157862208221047,959.07421875,11.381646811064003,47.390895653384945,0.7841533361278724,0.0,249.9437713623047,1.6117377281188965
1,5,13,154,834,703,154,834,703,-4,29.12853128634788,958.2716064453125,10.88269993532618,48.8493931909273,0.7585613013827266,0.0,253.47793579101562,1.650534987449646
1,5,14,145,796,609,145,796,609,-5,28.37162324485905,957.6923217773438,10.732038557877233,54.31562562341536,0.7373493166541009,0.0,263.701171875,1.4860347509384155
1,5,15,169,619,453,127,714,454,-6,26.88991595610429,957.4766235351562,11.041026261147667,62.747149467268514,0.712222198021057,0.0,277.6639404296875,1.2899826765060425
1,5,16,132,158,178,96,552,257,-6,24.044417159540956,957.78662109375,12.819498258205316,73.11948564804153,0.686249029519121,0.0,298.0752868652344,1.200705885887146
1,5,17,11,0,11,38,200,57,-6,20.34170058437701,958.0849609375,15.38000875283343,84.71460258393074,0.6584634615090035,0.0,324.9940185546875,1.4366782903671265
1,5,18,0,0,0,0,0,0,-7,19.051033236167996,958.7222290039062,15.701273474337105,97.08900769483903,0.629185807178483,0.0,346.76495361328125,1.926120638847351
1,5,19,0,0,0,0,0,0,-8,17.988847909410424,959.2581176757812,16.079357954421962,109.96605487657496,0.6006490396968203,0.0,359.7261962890625,2.476287603378296
1,5,20,0,0,0,0,0,0,-8,16.953547336600195,959.4981079101562,16.858196613963518,123.17590138308351,0.5766010486977193,0.0,4.639595031738281,2.909862995147705
1,5,21,0,0,0,0,0,0,-8,15.93536693184194,960.1868286132812,17.43943655013932,136.6053352371596,0.561989448226522,0.0,8.087554931640625,3.151731491088867
1,5,22,0,0,0,0,0,0,-8,14.990959992047465,960.0499877929688,18.30292878399481,150.17185416240073,0.5508093065048265,0.0,13.781578063964844,3.1822376251220703
1,5,23,0,0,0,0,0,0,-8,14.19155457045099,959.5042724609375,19.563597363416292,163.79286303544566,0.539613625311448,0.0,24.62653350830078,3.0920894145965576
1,6,0,0,0,0,0,0,0,-8,13.540530197951966,958.986083984375,21.34860670637904,176.89311076617088,0.5319084212421871,0.0,36.663475036621094,2.997908115386963
1,6,1,0,0,0,0,0,0,-7,12.968043650841253,958.8851928710938,23.77047669662572,168.44202709087233,0.5385718013495059,0.0,43.12898635864258,2.8145430088043213
1,6,2,0,0,0,0,0,0,-6,12.462898240877905,958.8699951171875,26.721045104805324,154.83821001657304,0.5591169116719724,0.0,45.64305114746094,2.549267530441284
1,6,3,0,0,0,0,0,0,-4,12.026950867593541,958.8756713867188,30.336934813898225,141.23959829087306,0.5720206660555455,0.0,47.961978912353516,2.28900146484375
1,6,4,0,0,0,0,0,0,-3,11.69175213836968,958.7369384765625,34.849513473488166,127.7511878251797,0.5779645912858941,0.0,51.639991760253906,1.998311161994934
1,6,5,0,0,0,0,0,0,-1,11.472740355391124,959.3168334960938,40.272964535320305,114.45037484880096,0.5792295198499682,0.0,55.078330993652344,1.7185590267181396
1,6,6,0,0,0,0,0,0,0,11.309051825032896,959.8831787109375,44.63847463064392,101.43687936874292,0.5747330378712973,0.0,59.04734802246094,1.462303876876831
1,6,7,2,0,2,9,32,10,0,13.286273457735774,960.4191284179688,40.5813647833509,88.85448823963114,0.5632029085933825,0.0,64.75728607177734,1.27390456199646
1,6,8,83,442,183,82,469,188,-1,17.47434769512182,961.271240234375,27.0564736258511,76.94341566139744,0.5505467948549051,0.0,69.8215103149414,0.9824623465538025
1,6,9,116,672,389,119,680,395,-1,22.027115849397035,961.9789428710938,20.84456525212138,66.07161407887072,0.5509496225920877,0.0,80.17736053466797,0.39050427079200745
1,6,10,141,785,570,141,785,570,-1,26.773371428421285,961.8851928710938,15.084616498070261,56.8549906685351,0.5522152206025868,0.0,236.97743225097656,0.4705534279346466
1,6,11,153,837,689,153,837,689,-3,28.842852727374407,960.9066162109375,11.96856377362259,50.22370226938308,0.5488318985805901,0.0,258.0443115234375,0.7137532234191895
1,6,12,157,856,739,157,856,739,-4,29.8916150183814,959.7184448242188,10.128499750398587,47.284982296873316,0.5404961824332751,0.0,268.2779541015625,0.8246474266052246
1,6,13,155,848,715,155,848,715,-6,30.090032416968143,958.445068359375,9.074422310743671,48.714375656335626,0.5287260512200711,0.0,282.67584228515625,0.9082881212234497
1,6,14,146,810,621,146,810,621,-7,29.3873596721142,958.0236206054688,8.514551642244397,54.16624695092038,0.5150984966151427,0.0,297.9654846191406,1.0171644687652588
1,6,15,129,729,464,129,729,464,-8,27.73850683522852,957.612060546875,8.417486873965391,62.59460888318513,0.4987132711889892,0.0,309.6424865722656,1.1308259963989258
1,6,16,122,480,263,98,567,264,-9,24.470980973466396,958.0492553710938,9.960988443332225,72.9694877419684,0.48496952406435434,0.0,319.6236572265625,1.2588602304458618
1,6,17,38,53,44,40,213,60,-10,20.520332852708293,958.4255981445312,11.894050539420117,84.56941865439416,0.4777833353342678,0.0,331.8694152832031,1.5383166074752808
1,6,18,0,0,0,0,0,0,-11,19.081531175159228,959.4733276367188,11.847743770013485,96.94921744402207,0.47833693613693146,0.0,344.22686767578125,1.902746558189392
1,6,19,0,0,0,0,0,0,-12,17.89731976403459,960.1591796875,11.93708912825465,109.8316463290754,0.4917032115301502,0.0,354.7192077636719,2.1900408267974854
1,6,20,0,0,0,0,0,0,-11,16.81314545495104,960.4185180664062,13.182107557651054,123.04653104220225,0.5278609529579742,0.0,5.235557556152344,2.3151350021362305
1,6,21,0,0,0,0,0,0,-10,15.875949754891451,960.3628540039062,15.410207029617872,136.48040855397952,0.5841097779240164,0.0,17.609825134277344,2.285362720489502
1,6,22,0,0,0,0,0,0,-10,15.025265978807397,959.9689331054688,16.366166352318363,150.0501929621313,0.6476470710504106,0.0,26.422740936279297,2.2573535442352295
1,6,23,0,0,0,0,0,0,-10,14.29869530220725,959.8173217773438,17.392996924106434,163.6707422866234,0.7009374738426515,0.0,31.353450775146484,2.2081360816955566
1,7,0,0,0,0,0,0,0,-9,13.70578905451606,959.0313720703125,19.18455840277581,176.74003349106232,0.7366281170609515,0.0,38.500492095947266,2.038393020629883
1,7,1,0,0,0,0,0,0,-8,13.232619122208291,958.6736450195312,21.74144792490314,168.51576546939594,0.7538676439372025,0.0,47.66514205932617,1.83893620967865
1,7,2,0,0,0,0,0,0,-7,12.813929833650775,958.329345703125,24.15801121114898,154.91799461148162,0.749903814666089,0.0,57.16688537597656,1.6938092708587646
1,7,3,0,0,0,0,0,0,-6,12.365879637908677,958.2862548828125,25.658178695313616,141.31570884090536,0.7309369285792529,0.0,62.3079948425293,1.5497876405715942
1,7,4,0,0,0,0,0,0,-6,11.931201675801617,958.440185546875,27.043541790029895,127.82077246710872,0.7083336539219371,0.0,66.72428131103516,1.4323549270629883
1,7,5,0,0,0,0,0,0,-6,11.569909780218268,959.0921630859375,28.323508082180027,114.51136379979653,0.6923235001204818,0.0,76.13729095458984,1.395212173461914
1,7,6,0,0,0,0,0,0,-5,11.25735463432278,959.7081909179688,29.730102092098715,101.48698701457607,0.6860466293135796,0.0,91.07080841064453,1.4776990413665771
1,7,7,2,0,2,9,30,10,-6,13.115952393988096,960.3382568359375,25.163689900018195,88.89069597084979,0.691731382651213,0.0,107.937744140625,1.6535100936889648
1,7,8,82,441,182,81,460,185,-7,17.192821442490867,960.9576416015625,17.784658598990216,76.96164508854558,0.7108366262074775,0.0,121.06649780273438,1.6771470308303833
1,7,9,118,669,390,118,669,390,-5,21.31678552054018,960.966064453125,16.294176546115295,66.06608929297778,0.7425959894475833,0.0,136.70469665527344,1.591315746307373
1,7,10,140,772,562,140,772,562,-3,25.88515990198897,960.6484375,14.658993720241847,56.818394534357694,0.7886239534757196,0.0,172.23538208007812,1.9401479959487915
1,7,11,152,821,678,152,821,678,-3,28.3876013971809,960.1862182617188,12.64723452208624,50.149175635166415,0.853861515467025,0.0,197.1044921875,1.7902671098709106
1,7,12,156,837,725,156,837,725,-3,29.64318937737039,959.4384765625,11.128194566675456,47.171827278487974,0.9209503030879317,0.0,225.89700317382812,1.6024192571640015
1,7,13,154,827,701,154,827,701,-4,29.98505390279206,958.749755859375,10.155473809765692,48.57272994176483,0.9610806076162337,0.0,252.01907348632812,1.6205260753631592
1,7,14,144,788,608,144,788,608,-5,29.450311523102357,958.2673950195312,9.690179990142852,54.01137972855902,0.9707777650815228,0.0,265.0131530761719,1.679999828338623
1,7,15,127,707,454,127,707,454,-6,28.015247562783372,958.0301513671875,9.77602804239016,62.43782442454527,0.9461734844458459,0.0,268.87371826171875,1.6338696479797363
1,7,16,97,548,259,97,548,259,-7,24.99158579667926,957.7454223632812,11.43974038819837,72.81634463324639,0.9140956189570677,0.0,264.27703857421875,1.4915547370910645
1,7,17,37,34,41,40,205,60,-7,21.45417799184986,958.0333862304688,13.820493733637523,84.42198714551284,0.8786122039984318,0.0,255.33595275878906,1.4740822315216064
1,7,18,0,0,0,0,0,0,-7,20.123509523885673,958.4241333007812,14.296154836490704,96.80788846874435,0.8431557951882045,0.0,250.7886199951172,1.5857155323028564
1,7,19,0,0,0,0,0,0,-8,19.08061955619138,958.9122924804688,14.913133056561085,109.69626405669419,0.8113338316801832,0.0,248.77542114257812,1.6989197731018066
1,7,20,0,0,0,0,0,0,-8,18.12447990533184,958.9239501953125,15.627627032957909,122.91662703557398,0.7879736259006025,0.0,249.06346130371094,1.6807292699813843
1,7,21,0,0,0,0,0,0,-8,17.25879471087933,959.0126342773438,16.492034758292274,136.35526307253323,0.784992848028174,0.0,247.03846740722656,1.5951162576675415
1,7,22,0,0,0,0,0,0,-7,16.499680251112125,958.8228759765625,18.276681878224718,149.9284490327045,0.7857594989234059,0.0,243.00584411621094,1.5454773902893066
1,7,23,0,0,0,0,0,0,-5,15.960696600591007,958.52294921875,23.028856607224768,163.5482207446106,0.7916415758929568,0.0,240.9567108154297,1.5538356304168701
